TOT_POP,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
20891.0,2329.0,5270.0,5.0,8095.0,0.609991622
481857.0,93232.0,92850.0,53.0,139527.0,5.882862273
3343364.0,848022.0,604412.0,6.0,893601.0,30.3427032
84203.0,13302.0,22379.0,54.0,37210.0,2.611188638
359977.0,50132.0,119425.0,12.0,152080.0,3.667487538
13773.0,1256.0,3789.0,27.0,4805.0,0.311729674
7720.0,433.0,1204.0,48.0,2663.0,0.14067249
12287.0,963.0,2635.0,48.0,4766.0,0.223891565
42057.0,5244.0,9347.0,39.0,16502.0,0.697985242
13953.0,1781.0,3407.0,40.0,5428.0,0.442325655
2074.0,300.0,537.0,8.0,661.0,0.032408731
149960.0,36557.0,19771.0,51.0,42149.0,1.690149377
2042.0,171.0,457.0,46.0,849.0,0.131930835
5899.0,768.0,1592.0,20.0,2123.0,0.281627887
187149.0,33020.0,36997.0,47.0,62241.0,3.179040356
28248.0,2754.0,4778.0,28.0,12530.0,0.936388384
80695.0,12588.0,17868.0,36.0,29627.0,0.685458333
286419.0,68603.0,60028.0,53.0,87240.0,3.496812393
5779.0,480.0,1379.0,48.0,2252.0,0.105303927
160137.0,33325.0,34804.0,30.0,46550.0,8.441711185
805.0,111.0,289.0,31.0,303.0,0.038804873
70675.0,17066.0,15267.0,51.0,20912.0,0.796554463
35774.0,2738.0,9766.0,47.0,15993.0,0.607681525
34475.0,7015.0,7948.0,13.0,11022.0,0.475201947
70422.0,9306.0,12724.0,13.0,20697.0,0.97069388
62249.0,12370.0,20484.0,45.0,27366.0,0.844821736
29503.0,3116.0,7499.0,47.0,11774.0,0.501158049
6488.0,841.0,2059.0,31.0,2438.0,0.312752816
19386.0,2699.0,4730.0,28.0,8621.0,0.642623379
547538.0,91702.0,160876.0,12.0,214418.0,5.578380817
22596.0,1994.0,4703.0,51.0,9101.0,0.254672015
161355.0,46210.0,34945.0,25.0,44103.0,1.753312628
27591.0,4418.0,7333.0,35.0,11029.0,0.539856774
6628.0,813.0,1683.0,29.0,2376.0,0.13198765
4664.0,855.0,1745.0,20.0,1769.0,0.222666971
20298.0,2170.0,4447.0,28.0,8764.0,0.672855119
52014.0,7509.0,6246.0,29.0,16081.0,1.035788414
44161.0,5661.0,11238.0,40.0,16674.0,1.39995293
12691.0,1715.0,3005.0,1.0,5496.0,0.262239122
36968.0,10839.0,12868.0,24.0,12585.0,0.30588884
56195.0,8372.0,16636.0,51.0,21897.0,0.63335519
15695.0,1086.0,2482.0,48.0,5885.0,0.285991545
399182.0,99685.0,74900.0,29.0,130626.0,7.949169274
43734.0,3604.0,9973.0,47.0,17760.0,0.742895505
5546.0,846.0,1423.0,46.0,1643.0,0.358319495
19807.0,2239.0,6367.0,37.0,9130.0,0.213642641
12288.0,2026.0,3156.0,17.0,4283.0,0.180350174
179436.0,24996.0,29137.0,48.0,61039.0,3.269651411
8645.0,1010.0,2459.0,19.0,3074.0,0.323213921
9036.0,668.0,2285.0,13.0,3604.0,0.124551843
14465.0,1310.0,3582.0,28.0,6690.0,0.479497946
94016.0,13505.0,22363.0,37.0,36526.0,1.014077172
52516.0,5180.0,14012.0,26.0,20706.0,0.756539446
20611.0,5014.0,7657.0,37.0,7761.0,0.222314761
15951.0,2217.0,4042.0,20.0,6029.0,0.761526771
107239.0,28158.0,23448.0,51.0,32101.0,1.208655169
18691.0,2403.0,5546.0,48.0,7171.0,0.340584133
1034.0,168.0,380.0,30.0,350.0,0.054507886
217522.0,35624.0,41981.0,35.0,67959.0,4.256124286
57686.0,5802.0,9951.0,29.0,19641.0,1.148738617
56682.0,10654.0,13622.0,54.0,22543.0,1.757744907
102793.0,31512.0,18998.0,36.0,25108.0,0.87316833
48649.0,16104.0,12397.0,44.0,12601.0,0.50613015
45129.0,5246.0,14771.0,48.0,18613.0,0.822332746
2213.0,313.0,606.0,46.0,721.0,0.142978912
514631.0,102693.0,105082.0,53.0,164540.0,6.282991208
62190.0,7647.0,9061.0,13.0,19050.0,0.857224339
2131.0,259.0,388.0,48.0,743.0,0.038830709
465861.0,38493.0,69266.0,6.0,138599.0,4.227921954
64227.0,7899.0,17239.0,42.0,21569.0,0.997978693
13308.0,1174.0,3706.0,22.0,6010.0,0.451217581
17769.0,1937.0,4693.0,5.0,7186.0,0.518833044
51323.0,5185.0,13217.0,39.0,20021.0,0.851765379
62567.0,12541.0,13734.0,18.0,20445.0,1.234159379
2664.0,412.0,720.0,40.0,1039.0,0.08445177
10673.0,1113.0,3014.0,5.0,4155.0,0.311638532
4833.0,1866.0,1815.0,8.0,1343.0,0.075521406
1516.0,249.0,477.0,48.0,642.0,0.027624287
9605.0,3416.0,2454.0,8.0,2543.0,0.150089614
118189.0,18162.0,23527.0,48.0,39665.0,2.153619288
92176.0,10125.0,23202.0,39.0,31621.0,1.529768829
46222.0,4050.0,12596.0,42.0,16831.0,0.718211518
44593.0,5977.0,10052.0,18.0,17393.0,0.87961496
7063.0,790.0,2161.0,19.0,2418.0,0.264067082
2252.0,598.0,965.0,48.0,1042.0,0.04103555
5190.0,873.0,1703.0,31.0,1861.0,0.250182971
20468.0,1879.0,5282.0,21.0,9782.0,0.480963888
17150.0,2214.0,4041.0,21.0,7077.0,0.402996418
21515.0,1371.0,3957.0,48.0,9035.0,0.392042567
43327.0,8226.0,10654.0,37.0,15791.0,0.467334513
37320.0,4310.0,8344.0,47.0,14540.0,0.633942934
37253.0,4281.0,7788.0,22.0,13841.0,1.263090512
37317.0,4114.0,8947.0,21.0,15124.0,0.876887308
22983.0,2874.0,7186.0,26.0,9067.0,0.33109045
31729.0,10679.0,13626.0,53.0,9616.0,0.387370811
16249.0,2569.0,3468.0,19.0,5262.0,0.607507576
32358.0,3986.0,9544.0,47.0,12813.0,0.549655023
128607.0,28075.0,29936.0,47.0,43675.0,2.184606079
9398.0,889.0,2170.0,13.0,3865.0,0.129541636
507078.0,110463.0,104370.0,34.0,153794.0,4.667486406
15985.0,2368.0,4084.0,31.0,5337.0,0.77055391
8924.0,722.0,3095.0,5.0,3677.0,0.260569874
30100.0,4671.0,7324.0,21.0,12500.0,0.707299836
32384.0,3372.0,7195.0,39.0,14644.0,0.537450462
47823.0,8106.0,10162.0,36.0,15781.0,0.406229306
6907.0,954.0,2052.0,17.0,2789.0,0.101373588
2278906.0,518999.0,470619.0,36.0,661141.0,19.35801608
50815.0,10514.0,11999.0,21.0,19691.0,1.194067812
54539.0,8238.0,17942.0,6.0,17014.0,0.494968747
4178.0,697.0,1151.0,20.0,1560.0,0.199464538
68362.0,8947.0,15273.0,40.0,27601.0,2.167151609
16683.0,2484.0,2952.0,8.0,4685.0,0.26069183
21098.0,1972.0,9183.0,4.0,9566.0,0.244174629
